Plate,Generation,Parental Treatment,Offspring Treatment,D1,D2,D3,D4,D5,D6,Treatment
99,F1,Larval Starvation,Larval Starvation,0,68,43,46,1,0,L(L)
100,F1,Larval Starvation,Larval Starvation,9,92,102,38,0,0,L(L)
101,F1,Larval Starvation,Larval Starvation,0,59,84,48,35,0,L(L)
102,F1,Larval Starvation,Larval Starvation,2,82,75,40,13,0,L(L)
103,F1,Larval Starvation,Larval Starvation,6,90,80,57,24,0,L(L)
104,F1,Larval Starvation,Larval Starvation,0,68,64,64,18,0,L(L)
105,F1,Larval Starvation,Larval Starvation,0,12,56,51,27,0,L(L)
106,F1,Larval Starvation,Larval Starvation,0,21,57,21,0,0,L(L)
107,F1,Larval Starvation,Larval Starvation,0,59,109,41,1,0,L(L)
108,F1,Larval Starvation,Larval Starvation,0,53,94,46,32,0,L(L)
109,F1,Larval Starvation,Larval Starvation,0,38,84,58,8,0,L(L)
110,F1,Larval Starvation,Larval Starvation,0,65,56,30,15,0,L(L)
111,F1,Larval Starvation,Larval Starvation,0,78,119,26,0,0,L(L)
112,F1,Larval Starvation,Larval Starvation,0,63,98,60,3,0,L(L)
113,F1,Larval Starvation,Larval Starvation,0,45,76,65,10,0,L(L)
114,F1,Larval Starvation,Larval Starvation,0,32,95,43,8,0,L(L)
115,F1,Larval Starvation,Larval Starvation,0,63,91,52,4,0,L(L)
116,F1,Larval Starvation,Larval Starvation,2,120,68,4,6,0,L(L)
117,F1,Larval Starvation,Larval Starvation,0,18,68,71,60,0,L(L)
118,F1,Larval Starvation,Larval Starvation,2,93,53,39,14,0,L(L)
119,F1,Larval Starvation,Larval Starvation,0,91,91,14,7,0,L(L)
120,F1,Larval Starvation,Larval Starvation,0,86,79,55,37,0,L(L)
121,F3,Larval Starvation,Control,0,56,136,37,1,0,C(L)
122,F3,Larval Starvation,Control,0,54,138,54,4,1,C(L)
123,F3,Larval Starvation,Control,0,118,126,60,2,0,C(L)
124,F3,Larval Starvation,Control,0,30,129,72,35,0,C(L)
125,F3,Larval Starvation,Control,0,48,78,37,11,2,C(L)
126,F3,Larval Starvation,Control,0,26,103,116,7,0,C(L)
127,F3,Larval Starvation,Control,0,0,40,72,58,42,C(L)
128,F3,Larval Starvation,Control,0,23,120,59,7,0,C(L)
129,F3,Larval Starvation,Control,0,50,152,46,0,0,C(L)
130,F3,Larval Starvation,Control,0,42,139,58,4,0,C(L)
131,F3,Larval Starvation,Control,0,69,122,22,7,3,C(L)
132,F3,Larval Starvation,Control,0,23,107,84,2,0,C(L)
133,F3,Larval Starvation,Control,0,33,109,110,41,5,C(L)
134,F3,Larval Starvation,Control,0,78,147,79,1,1,C(L)
135,F3,Larval Starvation,Control,0,39,146,51,4,15,C(L)
136,F3,Larval Starvation,Control,0,7,48,10,26,73,C(L)
137,F3,Larval Starvation,Control,0,23,126,71,25,4,C(L)
138,F3,Larval Starvation,Control,0,46,146,53,0,0,C(L)
139,F3,Larval Starvation,Control,0,5,95,61,16,9,C(L)
140,F3,Larval Starvation,Control,0,44,127,78,11,1,C(L)
141,F3,Larval Starvation,Control,0,19,107,64,13,0,C(L)
142,F3,Larval Starvation,Control,0,14,109,63,8,5,C(L)
143,F3,Larval Starvation,Control,0,31,83,67,33,20,C(L)
144,F3,Larval Starvation,Control,0,51,151,87,5,0,C(L)
145,F3,Larval Starvation,Control,0,56,113,71,23,10,C(L)
146,F3,Larval Starvation,Control,0,8,96,90,20,2,C(L)
147,F3,Larval Starvation,Control,0,5,100,84,23,1,C(L)
148,F3,Larval Starvation,Control,0,13,101,43,12,13,C(L)
149,F3,Larval Starvation,Control,0,15,109,94,10,0,C(L)
150,F3,Larval Starvation,Control,0,46,128,60,10,1,C(L)
151,F3,Larval Starvation,Larval Starvation,0,36,111,96,38,0,L(L)
152,F3,Larval Starvation,Larval Starvation,0,35,109,62,16,3,L(L)
153,F3,Larval Starvation,Larval Starvation,0,25,106,99,24,0,L(L)
154,F3,Larval Starvation,Larval Starvation,0,22,123,48,67,3,L(L)
155,F3,Larval Starvation,Larval Starvation,0,32,83,54,31,21,L(L)
156,F3,Larval Starvation,Larval Starvation,0,25,97,101,24,3,L(L)
157,F3,Larval Starvation,Larval Starvation,0,5,81,82,6,0,L(L)
158,F3,Larval Starvation,Larval Starvation,0,25,84,61,29,13,L(L)
159,F3,Larval Starvation,Larval Starvation,0,15,117,122,29,10,L(L)
160,F3,Larval Starvation,Larval Starvation,0,30,91,125,25,2,L(L)
161,F3,Larval Starvation,Larval Starvation,0,29,108,104,9,0,L(L)
162,F3,Larval Starvation,Larval Starvation,0,26,109,111,35,2,L(L)
163,F3,Larval Starvation,Larval Starvation,0,36,97,86,35,3,L(L)
164,F3,Larval Starvation,Larval Starvation,0,22,94,73,11,1,L(L)
165,F3,Larval Starvation,Larval Starvation,0,19,87,71,23,0,L(L)
166,F3,Larval Starvation,Larval Starvation,0,26,85,93,3,9,L(L)
167,F3,Larval Starvation,Larval Starvation,0,1,85,104,8,4,L(L)
168,F3,Larval Starvation,Larval Starvation,0,13,70,38,33,4,L(L)
169,F3,Larval Starvation,Larval Starvation,0,25,100,114,7,1,L(L)
170,F3,Larval Starvation,Larval Starvation,0,13,89,77,19,8,L(L)
171,F3,Larval Starvation,Larval Starvation,0,25,103,65,12,23,L(L)
172,F3,Larval Starvation,Larval Starvation,0,8,76,47,10,2,L(L)
173,F3,Larval Starvation,Larval Starvation,0,5,55,39,0,0,L(L)
174,F3,Larval Starvation,Larval Starvation,0,14,65,60,28,18,L(L)
175,F3,Larval Starvation,Larval Starvation,0,0,75,84,41,40,L(L)
176,F3,Larval Starvation,Larval Starvation,0,21,124,69,1,1,L(L)
177,F3,Larval Starvation,Larval Starvation,0,14,95,69,14,0,L(L)
178,F3,Larval Starvation,Larval Starvation,0,1,89,112,69,8,L(L)
179,F3,Larval Starvation,Larval Starvation,0,28,104,106,47,1,L(L)
180,F3,Larval Starvation,Larval Starvation,1,22,118,82,17,13,L(L)
181,F3,Control,Control,27,125,134,39,9,2,C(C)
182,F3,Control,Control,16,106,131,40,0,0,C(C)
183,F3,Control,Control,11,114,126,53,7,3,C(C)
184,F3,Control,Control,14,109,142,37,1,1,C(C)
185,F3,Control,Control,37,131,143,28,1,1,C(C)
186,F3,Control,Control,2,80,34,22,17,7,C(C)
187,F3,Control,Control,28,117,88,25,3,0,C(C)
188,F3,Control,Control,30,143,86,15,1,2,C(C)
189,F3,Control,Control,8,120,141,30,9,1,C(C)
190,F3,Control,Control,10,123,122,36,5,6,C(C)
191,F3,Control,Control,14,104,105,41,10,2,C(C)
192,F3,Control,Control,16,114,130,25,10,1,C(C)
193,F3,Control,Control,12,107,141,31,14,9,C(C)
194,F3,Control,Control,49,0,,,,,C(C)
195,F3,Control,Control,19,118,139,56,5,1,C(C)
196,F3,Control,Control,0,96,138,25,1,0,C(C)
197,F3,Control,Control,0,76,129,83,0,1,C(C)
198,F3,Control,Control,9,118,153,0,0,0,C(C)
199,F3,Control,Control,9,103,138,44,1,3,C(C)
200,F3,Control,Control,12,104,99,52,20,5,C(C)
201,F3,Control,Control,0,79,132,6,0,0,C(C)
202,F3,Control,Control,5,108,126,57,5,2,C(C)
203,F3,Control,Control,,,,,,,C(C)
204,F3,Control,Control,9,114,148,17,0,0,C(C)
205,F3,Control,Control,0,93,81,35,31,6,C(C)
206,F3,Control,Control,0,73,121,64,17,3,C(C)
207,F3,Control,Control,10,98,115,15,11,2,C(C)
208,F3,Control,Control,3,97,127,42,2,1,C(C)
209,F3,Control,Control,8,108,80,24,10,4,C(C)
210,F3,Control,Control,14,117,148,62,2,1,C(C)
211,F3,Control,Larval Starvation,0,78,80,37,0,1,L(C)
212,F3,Control,Larval Starvation,0,75,106,36,7,17,L(C)
213,F3,Control,Larval Starvation,0,46,59,38,26,30,L(C)
214,F3,Control,Larval Starvation,0,57,122,73,27,2,L(C)
215,F3,Control,Larval Starvation,17,97,72,33,3,2,L(C)
216,F3,Control,Larval Starvation,0,90,88,36,11,2,L(C)
217,F3,Control,Larval Starvation,0,65,66,46,35,11,L(C)
218,F3,Control,Larval Starvation,0,68,74,79,47,8,L(C)
219,F3,Control,Larval Starvation,0,49,95,74,52,23,L(C)
220,F3,Control,Larval Starvation,0,46,76,54,42,22,L(C)
221,F3,Control,Larval Starvation,0,66,79,83,57,28,L(C)
222,F3,Control,Larval Starvation,0,54,92,44,16,12,L(C)
223,F3,Control,Larval Starvation,0,72,110,31,16,9,L(C)
224,F3,Control,Larval Starvation,0,34,52,50,37,24,L(C)
225,F3,Control,Larval Starvation,0,41,51,49,16,20,L(C)
226,F3,Control,Larval Starvation,0,66,59,59,45,49,L(C)
227,F3,Control,Larval Starvation,1,77,106,51,17,9,L(C)
228,F3,Control,Larval Starvation,0,62,79,89,33,13,L(C)
229,F3,Control,Larval Starvation,3,79,98,75,8,1,L(C)
230,F3,Control,Larval Starvation,0,60,35,24,,,L(C)
231,F3,Control,Larval Starvation,0,64,73,58,5,0,L(C)
232,F3,Control,Larval Starvation,0,82,115,24,4,8,L(C)
233,F3,Control,Larval Starvation,0,76,92,32,9,12,L(C)
234,F3,Control,Larval Starvation,1,64,59,48,43,25,L(C)
235,F3,Control,Larval Starvation,0,67,69,81,44,11,L(C)
236,F3,Control,Larval Starvation,0,56,76,63,29,15,L(C)
237,F3,Control,Larval Starvation,,,,,,,L(C)
238,F3,Control,Larval Starvation,0,70,107,93,27,3,L(C)
239,F3,Control,Larval Starvation,0,67,102,100,9,1,L(C)
240,F3,Control,Larval Starvation,0,37,108,68,0,0,L(C)
